Genotype,fr_lf_sen_rate,grains_per_gram_stem,ll_modifier,max_grain_size,photop_sens,potential_grain_filling_rate,transp_eff_cf,tt_floral_initiation,vern_sens,y_extinct_coef,y_frac_leaf,y_rue
'g017',0.0342,23.4823,0.9416,0.0388,2.4813,0.0021,'0  0  0.005  0.005  0.005  0.005  0.005  0.005  0.005  0  0',491.2208,1.7980,'0.5182  0.5182  0.5182','0  0  0.5739  0.5739  0.5739  0.38450  0  0  0  0  0  0  0  0','0  0  1.241  1.241  1.241  1.241  1.241  1.241  0  0  0'
'g018',0.0328,21.3527,1.0111,0.0514,2.0247,0.0022,'0  0  0.0055  0.0055  0.0055  0.0055  0.0055  0.0055  0.0055  0  0',495.1934,2.1712,'0.5082  0.5082  0.5082','0  0  0.6177  0.6177  0.6177  0.41390  0  0  0  0  0  0  0  0','0  0  1.316  1.316  1.316  1.316  1.316  1.316  0  0  0'
'g019',0.0367,21.7159,1.0103,0.0434,2.3477,0.0020,'0  0  0.0057  0.0057  0.0057  0.0057  0.0057  0.0057  0.0057  0  0',501.2192,2.0781,'0.5366  0.5366  0.5366','0  0  0.5829  0.5829  0.5829  0.39050  0  0  0  0  0  0  0  0','0  0  1.195  1.195  1.195  1.195  1.195  1.195  0  0  0'
'g020',0.0358,21.3310,1.0610,0.0449,1.7737,0.0022,'0  0  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0.0056  0  0',511.1790,1.8646,'0.4612  0.4612  0.4612','0  0  0.5824  0.5824  0.5824  0.39020  0  0  0  0  0  0  0  0','0  0  1.137  1.137  1.137  1.137  1.137  1.137  0  0  0'
'g021',0.0354,22.0594,1.0145,0.0430,2.2777,0.0021,'0  0  0.0051  0.0051  0.0051  0.0051  0.0051  0.0051  0.0051  0  0',513.1194,2.2182,'0.426  0.426  0.426','0  0  0.5821  0.5821  0.5821  0.390  0  0  0  0  0  0  0  0','0  0  1.355  1.355  1.355  1.355  1.355  1.355  0  0  0'
'g022',0.0327,22.2735,0.9544,0.0431,2.3036,0.0019,'0  0  0.006  0.006  0.006  0.006  0.006  0.006  0.006  0  0',525.4418,2.0433,'0.5151  0.5151  0.5151','0  0  0.5939  0.5939  0.5939  0.39790  0  0  0  0  0  0  0  0','0  0  1.2  1.2  1.2  1.2  1.2  1.2  0  0  0'
'g023',0.0374,23.1163,0.9906,0.0356,1.7319,0.0019,'0  0  0.0053  0.0053  0.0053  0.0053  0.0053  0.0053  0.0053  0  0',495.2513,2.0894,'0.5373  0.5373  0.5373','0  0  0.5932  0.5932  0.5932  0.39740  0  0  0  0  0  0  0  0','0  0  1.289  1.289  1.289  1.289  1.289  1.289  0  0  0'
'g024',0.0368,23.6930,0.9723,0.0419,1.7073,0.0021,'0  0  0.0055  0.0055  0.0055  0.0055  0.0055  0.0055  0.0055  0  0',505.6177,1.8906,'0.5596  0.5596  0.5596','0  0  0.6146  0.6146  0.6146  0.41180  0  0  0  0  0  0  0  0','0  0  1.209  1.209  1.209  1.209  1.209  1.209  0  0  0'
'g025',0.0319,21.0844,0.9780,0.0498,2.3663,0.0023,'0  0  0.0048  0.0048  0.0048  0.0048  0.0048  0.0048  0.0048  0  0',529.1196,2.0599,'0.5126  0.5126  0.5126','0  0  0.5904  0.5904  0.5904  0.39560  0  0  0  0  0  0  0  0','0  0  1.288  1.288  1.288  1.288  1.288  1.288  0  0  0'
'g026',0.0417,22.8575,1.0360,0.0400,2.3515,0.0020,'0  0  0.0057  0.0057  0.0057  0.0057  0.0057  0.0057  0.0057  0  0',491.6697,2.0756,'0.501  0.501  0.501','0  0  0.6293  0.6293  0.6293  0.42160  0  0  0  0  0  0  0  0','0  0  1.22  1.22  1.22  1.22  1.22  1.22  0  0  0'
